specialty,service,service_code,country,currency,hospital_cost,tashkheesa_price,doctor_commission,pricing_status,notes
Cardiology,"CT Coronary Angiography",CARD_CTCA,AE,AED,,1448.0,217.0,pending_pricing,"Awaiting regional pricing"
Cardiology,"CT Coronary Angiography",CARD_CTCA,BH,BHD,,148.8,22.3,pending_pricing,"Auto-converted from AED"
Cardiology,"CT Coronary Angiography",CARD_CTCA,EG,EGP,6900.0,7935.0,1190.3,active,
Cardiology,"CT Coronary Angiography",CARD_CTCA,GB,GBP,,317.0,48.0,pending_pricing,"Awaiting regional pricing"
Cardiology,"CT Coronary Angiography",CARD_CTCA,KW,KWD,,121.0,18.2,pending_pricing,"Auto-converted from AED"
Cardiology,"CT Coronary Angiography",CARD_CTCA,OM,OMR,,152.7,22.9,pending_pricing,"Auto-converted from AED"
Cardiology,"CT Coronary Angiography",CARD_CTCA,QA,QAR,,1438.0,216.0,pending_pricing,"Auto-converted from AED"
Cardiology,"CT Coronary Angiography",CARD_CTCA,SA,SAR,,1488.0,223.0,pending_pricing,"Awaiting regional pricing"
Cardiology,"CT Coronary Angiography",CARD_CTCA,US,USD,,397.0,60.0,pending_pricing,"Awaiting regional pricing"
Cardiology,"Calcium Score Review",card_calcium_score,AE,AED,,672.0,101.0,pending_pricing,"Awaiting regional pricing"
Cardiology,"Calcium Score Review",card_calcium_score,BH,BHD,,69.0,10.3,pending_pricing,"Auto-converted from AED"
Cardiology,"Calcium Score Review",card_calcium_score,EG,EGP,3200.0,3680.0,552.0,active,
Cardiology,"Calcium Score Review",card_calcium_score,GB,GBP,,147.0,22.0,pending_pricing,"Awaiting regional pricing"
Cardiology,"Calcium Score Review",card_calcium_score,KW,KWD,,56.1,8.4,pending_pricing,"Auto-converted from AED"
Cardiology,"Calcium Score Review",card_calcium_score,OM,OMR,,70.8,10.6,pending_pricing,"Auto-converted from AED"
Cardiology,"Calcium Score Review",card_calcium_score,QA,QAR,,667.0,100.0,pending_pricing,"Auto-converted from AED"
Cardiology,"Calcium Score Review",card_calcium_score,SA,SAR,,690.0,104.0,pending_pricing,"Awaiting regional pricing"
Cardiology,"Calcium Score Review",card_calcium_score,US,USD,,184.0,28.0,pending_pricing,"Awaiting regional pricing"
Cardiology,"Cardiac Catheterization Review",,,,,,,,
Cardiology,"Cardiac MRI (CMR)",CARD_CMR,AE,AED,,1532.0,230.0,pending_pricing,"Awaiting regional pricing"
Cardiology,"Cardiac MRI (CMR)",CARD_CMR,BH,BHD,,157.4,23.6,pending_pricing,"Auto-converted from AED"
